Time,,prod16.dc4,prod08.ld5,prod11.dc4,prod34.dc4,prod40.la3,prod50.dc4,prod14.dc4,prod81.dc4,prod03.dc4,prod41.la3
2018/12/10 09:28:00,PST,1.9917,6.1233,3.7783,4.9283,2.8433,1.72,2.3,2.2567,3.025,2.2067
2018/12/10 09:29:00,PST,1.9917,4.3183,3.7783,4.9283,2.8433,1.72,2.3,2.2567,3.025,2.2067
2018/12/10 09:30:00,PST,2.0267,3.99,2.4833,2.8167,2.5383,4.0483,2.315,2.0517,3.045,2.07
2018/12/10 09:31:00,PST,2.065,3.7367,4.7133,3.5817,2.6467,2.5983,2.73,2.5133,3.21,2.0667
2018/12/10 09:32:00,PST,1.9133,6.7883,2.8483,4.1017,2.7567,2.2083,2.63,2.425,2.6967,2.1667
2018/12/10 09:33:00,PST,2.1617,4.0267,4.17,4.03,2.6583,5.0667,2.3383,2.6083,3.9333,2.075
2018/12/10 09:34:00,PST,1.8983,5.3567,6.3233,4.93,2.615,2.18,2.8117,2.5183,3.0933,2.0817
2018/12/10 09:35:00,PST,1.7633,4.0233,2.5283,3.9017,2.73,2.5033,2.4317,2.455,2.9267,2.1567
2018/12/10 09:36:00,PST,1.7167,3.6567,4.29,2.4183,2.7083,5.2633,2.81,2.5733,3.4733,2.1017
2018/12/10 09:37:00,PST,1.735,3.5533,2.4283,5.2983,2.6283,2.3933,2.8033,2.405,3.4883,2.0067
2018/12/10 09:38:00,PST,1.92,4.11,3.8583,5.38,2.67,4.21,2.855,2.6367,3.38,1.9383
2018/12/10 09:39:00,PST,1.735,3.9233,3.4167,3.505,2.9,2.1267,2.545,2.5517,3.5167,2.2867
2018/12/10 09:40:00,PST,1.6817,4.2567,2.8217,2.6783,2.6267,1.8883,2.36,3.5667,4.1633,2.015
2018/12/10 09:41:00,PST,1.5833,3.69,3.9883,2.525,2.85,4.085,2.6,2.5417,2.6467,2.025
2018/12/10 09:42:00,PST,1.6617,6.8767,4.1183,3.7867,2.5183,1.5467,2.485,2.585,3.505,2.265
2018/12/10 09:43:00,PST,1.7067,3.485,4.3433,2.3167,3.57,4.2983,2.6783,2.72,4.0433,1.8333
2018/12/10 09:44:00,PST,1.6767,4.6033,2.8517,6.79,2.76,1.775,2.8817,2.4617,4.7517,2.0917
2018/12/10 09:45:00,PST,1.8783,3.8383,3.2733,3.5733,2.885,1.625,2.1067,2.705,3.4633,2.0367
2018/12/10 09:46:00,PST,1.5567,3.91,3.865,2.625,3.2067,4.04,2.8033,2.4167,2.5333,2.1217
2018/12/10 09:47:00,PST,1.575,4.42,2.44,3.0517,2.83,1.775,2.8483,2.7217,2.7033,1.965
2018/12/10 09:48:00,PST,1.89,7.4233,4.62,1.6517,2.6967,1.8517,2.4567,2.2117,3.7917,2.205
2018/12/10 09:49:00,PST,1.7317,4.8067,6.3433,6.6133,2.92,4.0883,2.6333,2.2233,4.0483,2.2017
2018/12/10 09:50:00,PST,1.5883,6.415,3.8467,2.465,2.525,1.81,2.3783,2.1167,3.3067,2.0483
2018/12/10 09:51:00,PST,1.6783,3.7967,3.82,3.0833,2.835,1.52,2.5317,2.32,3.41,2.1333
2018/12/10 09:52:00,PST,1.555,4.58,2.7017,3.9033,2.6233,1.6533,2.4933,2.2467,5.315,1.8283
2018/12/10 09:53:00,PST,1.74,4.4083,4.8117,2.3867,2.8217,5.4483,2.6683,2.4367,3.1333,2.0733
2018/12/10 09:54:00,PST,1.7483,4.0483,2.955,6.1517,2.5883,1.6167,2.59,2.2267,4.115,2.0217
2018/12/10 09:55:00,PST,1.6667,3.78,3.545,3.0167,2.81,2.14,2.345,2.015,3.7117,2.1017
2018/12/10 09:56:00,PST,1.6267,4.05,5.9317,2.7233,2.5967,1.7633,2.8367,2.0017,4.0333,2.0717
2018/12/10 09:57:00,PST,1.595,4.05,2.7183,3.5133,2.7117,4.2383,4.17,2.3283,4.365,2.2717
2018/12/10 09:58:00,PST,2.6883,3.48785,4.5083,3.25,2.6667,1.9633,2.7967,2.015,4.26,1.9833
2018/12/10 09:59:00,PST,1.5167,4.365,3.0333,3.305,2.575,1.6733,2.5467,2.3867,4.6983,2.0067
2018/12/10 10:00:00,PST,1.7433,3.7417,3.83,2.6467,2.39,2.3767,2.69,2.0,4.01,2.0983
2018/12/10 10:01:00,PST,1.5483,3.185,3.7717,2.8167,2.7033,4.7567,2.7317,2.51,4.3083,2.8717
2018/12/10 10:02:00,PST,1.8833,7.66,3.355,3.495,2.97,2.59,2.7733,2.5,3.2117,2.2133
2018/12/10 10:03:00,PST,1.77,3.9233,3.355,2.1983,2.8167,3.0433,2.5967,2.5,2.975,2.235
2018/12/10 10:04:00,PST,1.805,4.25,3.36205,6.4967,2.9,4.5049,2.78,2.473,3.9767,2.2767
2018/12/10 10:05:00,PST,1.6833,5.0383,5.5733,2.87,3.1717,3.7407,2.645,2.56,3.1583,2.4683
2018/12/10 10:06:00,PST,1.6583,5.1483,3.3083,2.4667,2.5517,2.5967,2.4183,2.6483,3.3067,2.3417
2018/12/10 10:07:00,PST,14.5574,3.9917,3.495,6.5817,3.5033,2.8717,2.7933,2.4617,3.0333,1.9967
2018/12/10 10:08:00,PST,6.7068,5.4017,4.6567,1.99,2.8017,2.575,2.5033,2.6133,3.3183,2.2133
2018/12/10 10:09:00,PST,1.6683,4.525,2.4467,3.5467,3.2783,5.335,2.7383,2.5,13.4167,2.3267
